id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"173,VÍA A SAN AGUSTÍN S/N S/N,,173,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
174,PRESIDENTE CORDOVA 5-86 Y HERMANO MIGUEL,,174,SAN SEBASTIÁN;
"175,JAIME ROLDOS 1-40 Y GUAPONDELIG,""SECTOR MOLINOPAMBA, A DOSCIENTOS METROS DE LA HACIENDA SAN DIEGO"",175,RICAURTE";
"176,SUCRE N.- 14-70 Y CORONEL TALBOT,""SECTOR VICTORIA DEL PORTETE, A TRESCIENTOS METROS DE LA PARADA DE BUSES"",176,VICTORIA DEL PORTETE (IRQUIS)";
"177,JUAN JARAMILLO 3-25 Y TOMAS ORDOÑEZ,,177,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"178,HURTADO MENDOZA 13-69 E INGAPIRCA,,178,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"179,HERMANO MIGUEL 5-42 Y HONORATO VASQUEZ,,179,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"180,PUMAPUNGO 02-30 PASEO DE LOS CAÑARIS,,180,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"181,VIA A CUENCA NARANJAL KM 12,,181,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"182,MARISCAL A. JOSÉ SUCRE 13-56 JUAN MONTALVO,,182,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
183,Benigno Malo  8-59 Sucre,MEDIAIMAGEN,183,CAÑARIBAMBA;
"184,TARQUI 7-92 SUCRE,,184,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
185,AV JOSE PERALTA ,A UNA CUADRA Y MEDIA DEL PARQUE SAN SEBASTIÁN.,185,SAN SEBASTIÁN;
186,CALLE LARGA 5-83 HERMANO MIGUEL, Junto a la Catedral Nueva de La Inmaculada ,186,GIL RAMÍREZ DÁVALOS;
187,AV. 12 DE OCTUBRE Y AV. DON BOSCO,,187,SAN SEBASTIÁN;
"188,HONORATO VASQUEZ 5-66 HERMANO MIGUEL,,188,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
189,AV. LOS ANDES Y YANAHURCO,,189,EL SAGRARIO;
"190,MIGUEL MORENO 4-28 Y JACINTO FLORES,,190,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
191,PRESIDENTE BORRERO 5-57 HONORATO VAZQUES, UBICADOS A UNA CUADRA Y MEDIA DE LA IGLESIA LA MERCED ,191,EL SAGRARIO;
"192,ALFONSO CORDERO 3-35 Y MIGUEL CORDERO,,192,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"193,ANTISANA Y BUERAN,,193,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
194,BENIGNO MALO 14-86 RAFAEL MARIA ARIZAGA,,194,EL SAGRARIO;
"195,remigio crespo s/n antonio tamariz,,195,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"196,El Chorro 1-50 Gil Ramirez,,196,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
197,AV UNIDAD NACIONAL S/N PADUA,UNA CUADRA MAS ABAJO DE LA RADIO TOMEBAMBA,197,BELLAVISTA;
198,AV. REMIGIO CRESPO 4-33 Y RICARDO MUÑOZ, pista de bicicros ,198,SUCRE;
"199,HERMANO MIGUEL 7-24 Y PRESIDENTE CORDOVA,"" A partir del Terminal Terrestre, salir por la puerta lateral sur, solo tiene que cruzar la calle El Chorro, allí esta ubicado nuestro Hotel. Desde el Aeropuerto tome La Av. España hasta el Terminal Terrestre, gire a la derecha en la Av. Sebastián de Benalcazar, hasta la Av. Gil Ramírez, una cuadra hasta la calle El Chorro, a 50 metros de esta intersección se encuentra nuestro Hotel. "",199,TOTORACOCHA ";
